id,name,website,description,hq_country
1inch,1inch,https://1inch.io,1inch is a decentralized exchange aggregator that sources liquidity from various exchanges to provide the best rates.,KY
2degrees,2degrees,https://www.2degrees.nz,2degrees is a leading New Zealand telecommunications provider offering mobile and broadband services to customers nationwide.,NZ
3ina,3INA,https://3ina.com,"3INA is a Spanish cosmetics brand known for its vibrant, inclusive, and eco-conscious makeup products.",ES
abantail,Abantail,https://www.abantail.com,"Abantail specialize in the automation of the engineer-to-order process via software configurators, part of the Mondragon Corporation.",ES
abb,ABB,https://global.abb,"ABB is a technology leader in electrification and automation, enabling a more sustainable and resource-efficient future.",CH
abc-au,Australian Broadcasting Corporation (ABC),https://www.abc.net.au,"The Australian Broadcasting Corporation (ABC) is the national broadcaster of Australia, providing news and entertainment.",AU
accenture-australia,Accenture Australia,https://www.accenture.com/au-en,"Accenture Australia is the regional branch of the global professional services firm, specializing in strategy, consulting, and technology.",IE
acci-n-contra-el-hambre,Acción contra el Hambre,https://www.accioncontraelhambre.org,Acción contra el Hambre is an international humanitarian NGO dedicated to fighting hunger and malnutrition globally.,ES
acorn,Acorn,https://www.acorngroup.co.nz,The Acorn Group is a New Zealand recruitment and talent acquisition specialist with over 30 years of industry experience.,NZ
actioglobal,ActioGlobal®,https://actioglobal.com,ActioGlobal is a Spanish business transformation consultancy focused on organizational agility and digital strategy.,ES
action1,Action1,https://www.action1.com,Action1 provides a cloud-based endpoint management platform for automated patch management and remote desktop access.,US
adp,ADP,https://www.adp.com,"ADP is a global leader in cloud-based human capital management (HCM) solutions, including payroll, HR, and benefits.",US
advanced-design-technology-pty-ltd,Advanced Design Technology Pty Ltd,https://www.adtechnology.com.au,Advanced Design Technology is an Australian provider of specialized engineering and design software solutions.,AU
aenor,AENOR,https://www.aenor.com,"AENOR is a leading Spanish organization in knowledge management and certification for quality, environment, and social responsibility.",ES
afiansys,Afiansys,https://afiansys.com,Afiansys is a Spanish technology consultancy specialized in information systems and security.,ES
agentero,Agentero,https://www.agentero.com,Agentero is a sales and service platform that connects independent insurance agents with a network of insurance carriers.,US
agscent,Agscent,https://www.agscent.com,Agscent is an Australian agritech company developing non-invasive livestock breath diagnostics technology.,AU
aircall,Aircall,https://aircall.io,Aircall is a cloud-based phone system and communication platform integrated with popular CRM and helpdesk tools.,FR
airtificial-intelligent-robots,Airtificial Intelligent Robots,https://www.airtificial.com,Airtificial Intelligent Robots designs and manufactures advanced robotic systems and assembly solutions for industrial automation.,ES
airtificial,AIRTIFICIAL,https://www.airtificial.com,"Airtificial is a global technology company specializing in innovative engineering solutions, robotics, and aerospace technology.",ES
airtree,Airtree,https://www.airtree.vc,AirTree Ventures is an early-stage venture capital firm investing in technology startups across Australia and New Zealand.,AU
airways-new-zealand,Airways New Zealand,https://www.airways.co.nz,"Airways New Zealand is the national air navigation service provider, managing all air traffic across New Zealand.",NZ
airzone-control,Airzone Control,https://www.airzonecontrol.com,Airzone designs and manufactures intelligent HVAC control systems for residential and commercial energy efficiency.,ES
akens-nordburg,Akens\Nordburg,https://www.akens-nordburg.com,Akens Nordburg is an executive search and HR consultancy firm connecting talent between Spain and the DACH region.,ES
akqa,AKQA,https://www.akqa.com,AKQA is a global design and innovation agency that uses creativity and technology to build iconic brands.,US
al-n-space,Alén Space,https://alen.space,"Alén Space specializes in the design, manufacturing, and operation of small satellites and nanosatellites.",ES
albany-toyota,Albany Toyota,https://www.toyota.co.nz/albany-toyota/,"Albany Toyota is a retail car dealership in Auckland providing vehicle sales, servicing, and parts.",NZ
alea,Alea,https://aleasoluciones.com,Alea Soluciones is a Spanish technology company specializing in telecommunications and GPON network solutions.,ES
alibaba-group,Alibaba Group,https://www.alibabagroup.com,"Alibaba Group is a global technology leader in e-commerce, cloud computing, and digital innovation.",CN
align-talent,Align Talent,https://www.alignrecruitment.com,Align Recruitment is a New Zealand agency specializing in global search and placement of candidates across various sectors.,NZ
alliance-group-limited,Alliance Group Limited,https://www.alliance.co.nz,Alliance Group is a leading New Zealand farmer-owned red meat co-operative and global exporter.,NZ
alliance-instalaciones,Alliance Instalaciones y Mantenimientos,https://www.alliance.es,"Alliance Instalaciones y Mantenimientos provides installation and maintenance for electrical, mechanical, and solar systems.",ES
alpaca,Alpaca,https://alpaca.markets,Alpaca is a developer-first API and brokerage platform for algorithmic trading and financial application development.,US
alpha-networks,Alpha Networks,https://www.alphanetworks.tv,Alpha Networks provides modular TV software and SaaS video platforms for OTT and IPTV solutions globally.,BE
alquiler-seguro-grupo,Alquiler Seguro Grupo,https://www.alquilerseguro.es,Alquiler Seguro is a leading Spanish company specializing in rental management and guaranteed rent services for property owners.,ES
altitude,Altitude,https://www.altitude.com,Altitude Software provides omnichannel solutions for contact centers and personalized customer experience management.,NZ
alvac-s-a,ALVAC S.A.,https://www.alvac.es,"ALVAC S.A. specializes in the construction, repair, and maintenance of public infrastructure and civil works.",NZ
amazon-web-services-aws,Amazon Web Services (AWS),https://aws.amazon.com,Amazon Web Services (AWS) is a global leader in on-demand cloud computing platforms and APIs.,US
ambition,Ambition,https://www.ambition.co.nz,"Ambition is a global boutique recruitment firm specializing in finance, technology, and digital talent acquisition in New Zealand.",NZ
